site1,site2,distance
1,1,0
1,2,0.6346666666666667
1,3,0.736
1,4,0.6
1,5,0.8
1,6,0.536
1,7,0.456
1,8,0.5893333333333334
1,9,0.5253333333333333
1,10,0.5866666666666667
1,11,0.5386666666666666
1,12,0.42133333333333334
1,13,0.664
1,14,0.7946666666666666
1,15,0.6666666666666666
1,16,0.5893333333333334
1,17,0.6506666666666666
1,18,0.5146666666666667
1,19,0.4746666666666667
1,20,0.568
1,21,0.6053333333333333
1,22,0.5786666666666667
1,23,0.528
1,24,0.48533333333333334
1,25,0.4026666666666667
1,26,0.44266666666666665
1,27,0.8533333333333334
1,28,0.7813333333333333
1,29,0.688
1,30,0.47733333333333333
1,31,0.8773333333333333
1,32,0.776
1,33,0.6293333333333333
1,34,0.5093333333333333
1,35,0.6346666666666667
1,36,0.5386666666666666
1,37,0.68533333333333335
1,38,0.5626666666666666
1,39,0.5386666666666666
1,40,0.776
1,41,0.6613333333333333
1,42,0.624
1,43,0.704
1,44,0.7386666666666667
1,45,0.7093333333333334
1,46,0.499330655957162
1,47,0.49333333333333335
1,48,0.7973333333333333
1,49,0.72
2,1,0.6346666666666667
2,2,0
2,3,0.5333333333333333
2,4,0.7173333333333334
2,5,0.96
2,6,0.8373333333333334
2,7,0.6986666666666667
2,8,0.9333333333333333
2,9,0.6266666666666667
2,10,0.4613333333333333
2,11,0.8133333333333334
2,12,0.7173333333333334
2,13,0.8213333333333334
2,14,0.928
2,15,0.7893333333333333
2,16,0.736
2,17,0.6053333333333333
2,18,0.8293333333333334
2,19,0.736
2,20,0.808
2,21,0.568
2,22,0.792
2,23,0.8266666666666667
2,24,0.624
2,25,0.64
2,26,0.6266666666666667
2,27,0.44
2,28,0.49866666666666665
2,29,0.624
2,30,0.6933333333333334
2,31,0.944
2,32,0.4693333333333333
2,33,0.7066666666666667
2,34,0.576
2,35,0.544
2,36,0.43733333333333335
2,37,0.696
2,38,0.4266666666666667
2,39,0.5946666666666667
2,40,0.5066666666666667
2,41,0.5706666666666667
2,42,0.72
2,43,0.7706666666666667
2,44,0.33866666666666667
2,45,0.5866666666666667
2,46,0.5394912985274432
2,47,0.5573333333333333
2,48,0.48533333333333334
2,49,0.49333333333333335
3,1,0.736
3,2,0.5333333333333333
3,3,0
3,4,0.808
3,5,0.952
3,6,0.392
3,7,0.8533333333333334
3,8,0.968
3,9,0.712
3,10,0.7546666666666667
3,11,0.896
3,12,0.776
3,13,0.832
3,14,0.944
3,15,0.8693333333333333
3,16,0.7946666666666666
3,17,0.6906666666666667
3,18,0.8746666666666667
3,19,0.8213333333333334
3,20,0.9066666666666666
3,21,0.7573333333333333
3,22,0.872
3,23,0.5253333333333333
3,24,0.8453333333333334
3,25,0.848
3,26,0.7386666666666667
3,27,0.8373333333333334
3,28,0.39466666666666667
3,29,0.5146666666666667
3,30,0.784
3,31,0.9653333333333334
3,32,0.8453333333333334
3,33,0.84
3,34,0.6373333333333333
3,35,0.5306666666666666
3,36,0.8613333333333333
3,37,0.7306666666666667
3,38,0.5653333333333334
3,39,0.37866666666666665
3,40,0.4693333333333333
3,41,0.8026666666666666
3,42,0.8533333333333334
3,43,0.8693333333333333
3,44,0.5946666666666667
3,45,0.45066666666666666
3,46,0.7242302543507363
3,47,0.7546666666666667
3,48,0.8266666666666667
3,49,0.30666666666666664
4,1,0.6
4,2,0.7173333333333334
4,3,0.808
4,4,0
4,5,0.576
4,6,0.816
4,7,0.4666666666666667
4,8,0.5226666666666666
4,9,0.456
4,10,0.5493333333333333
4,11,0.6346666666666667
4,12,0.5306666666666666
4,13,0.5866666666666667
4,14,0.6026666666666667
4,15,0.632
4,16,0.6133333333333333
4,17,0.496
4,18,0.30666666666666664
4,19,0.5786666666666667
4,20,0.712
4,21,0.5413333333333333
4,22,0.528
4,23,0.784
4,24,0.616
4,25,0.6026666666666667
4,26,0.45066666666666666
4,27,0.816
4,28,0.7173333333333334
4,29,0.48
4,30,0.4746666666666667
4,31,0.552
4,32,0.696
4,33,0.33066666666666666
4,34,0.6026666666666667
4,35,0.704
4,36,0.6666666666666666
4,37,0.504
4,38,0.5733333333333334
4,39,0.696
4,40,0.6293333333333333
4,41,0.5093333333333333
4,42,0.36533333333333334
4,43,0.408
4,44,0.6746666666666666
4,45,0.5893333333333334
4,46,0.49129852744310576
4,47,0.5893333333333334
4,48,0.856
4,49,0.6906666666666667
5,1,0.8
5,2,0.96
5,3,0.952
5,4,0.576
5,5,0
5,6,0.8053333333333333
5,7,0.6666666666666666
5,8,0.536
5,9,0.7066666666666667
5,10,0.904
5,11,0.808
5,12,0.6053333333333333
5,13,0.34933333333333333
5,14,0.2
5,15,0.968
5,16,0.936
5,17,0.7786666666666666
5,18,0.536
5,19,0.7146666666666667
5,20,0.7946666666666666
5,21,0.592
5,22,0.6533333333333333
5,23,0.7466666666666667
5,24,0.7253333333333334
5,25,0.7333333333333333
5,26,0.68533333333333335
5,27,0.9573333333333334
5,28,0.952
5,29,0.7226666666666667
5,30,0.4666666666666667
5,31,0.144
5,32,0.808
5,33,0.68
5,34,0.784
5,35,0.8
5,36,0.7893333333333333
5,37,0.45866666666666667
5,38,0.832
5,39,0.7813333333333333
5,40,0.9253333333333333
5,41,0.8346666666666667
5,42,0.6346666666666667
5,43,0.696
5,44,0.9466666666666667
5,45,0.824
5,46,0.6706827309236948
5,47,0.7013333333333334
5,48,0.8373333333333334
5,49,0.8666666666666667
6,1,0.536
6,2,0.8373333333333334
6,3,0.392
6,4,0.816
6,5,0.8053333333333333
6,6,0
6,7,0.696
6,8,0.7146666666666667
6,9,0.696
6,10,0.8346666666666667
6,11,0.7706666666666667
6,12,0.4826666666666667
6,13,0.7386666666666667
6,14,0.8186666666666667
6,15,0.8853333333333333
6,16,0.904
6,17,0.7173333333333334
6,18,0.7386666666666667
6,19,0.6346666666666667
6,20,0.76
6,21,0.7066666666666667
6,22,0.7146666666666667
6,23,0.23466666666666666
6,24,0.6213333333333333
6,25,0.5866666666666667
6,26,0.6746666666666666
6,27,0.912
6,28,0.5066666666666667
6,29,0.5626666666666666
6,30,0.6613333333333333
6,31,0.912
6,32,0.8533333333333334
6,33,0.872
6,34,0.584
6,35,0.5013333333333333
6,36,0.7333333333333333
6,37,0.6826666666666666
6,38,0.6426666666666667
6,39,0.35733333333333334
6,40,0.5386666666666666
6,41,0.8266666666666667
6,42,0.8426666666666667
6,43,0.872
6,44,0.6906666666666667
6,45,0.5333333333333333
6,46,0.6331994645247657
6,47,0.5866666666666667
6,48,0.7893333333333333
6,49,0.45866666666666667
7,1,0.456
7,2,0.6986666666666667
7,3,0.8533333333333334
7,4,0.4666666666666667
7,5,0.6666666666666666
7,6,0.696
7,7,0
7,8,0.39466666666666667
7,9,0.37333333333333335
7,10,0.42933333333333334
7,11,0.4826666666666667
7,12,0.42933333333333334
7,13,0.5866666666666667
7,14,0.68
7,15,0.6186666666666667
7,16,0.6906666666666667
7,17,0.448
7,18,0.30666666666666664
7,19,0.39466666666666667
7,20,0.5653333333333334
7,21,0.4266666666666667
7,22,0.4106666666666667
7,23,0.656
7,24,0.30933333333333335
7,25,0.28
7,26,0.37866666666666665
7,27,0.7173333333333334
7,28,0.6826666666666666
7,29,0.5333333333333333
7,30,0.552
7,31,0.7413333333333333
7,32,0.576
7,33,0.33866666666666667
7,34,0.424
7,35,0.576
7,36,0.49333333333333335
7,37,0.536
7,38,0.5493333333333333
7,39,0.6
7,40,0.6906666666666667
7,41,0.5306666666666666
7,42,0.32
7,43,0.448
7,44,0.6293333333333333
7,45,0.5973333333333334
7,46,0.3119143239625167
7,47,0.416
7,48,0.6586666666666666
7,49,0.7013333333333334
8,1,0.5893333333333334
8,2,0.9333333333333333
8,3,0.968
8,4,0.5226666666666666
8,5,0.536
8,6,0.7146666666666667
8,7,0.39466666666666667
8,8,0
8,9,0.5573333333333333
8,10,0.7893333333333333
8,11,0.7306666666666667
8,12,0.5173333333333333
8,13,0.5466666666666666
8,14,0.5226666666666666
8,15,0.8746666666666667
8,16,0.8426666666666667
8,17,0.48533333333333334
8,18,0.38666666666666666
8,19,0.624
8,20,0.7493333333333333
8,21,0.6266666666666667
8,22,0.6373333333333333
8,23,0.696
8,24,0.6053333333333333
8,25,0.5973333333333334
8,26,0.6186666666666667
8,27,0.92
8,28,0.8853333333333333
8,29,0.6826666666666666
8,30,0.5146666666666667
8,31,0.5946666666666667
8,32,0.7653333333333333
8,33,0.6533333333333333
8,34,0.76
8,35,0.768
8,36,0.6906666666666667
8,37,0.552
8,38,0.8293333333333334
8,39,0.7493333333333333
8,40,0.7306666666666667
8,41,0.608
8,42,0.5706666666666667
8,43,0.5226666666666666
8,44,0.904
8,45,0.7786666666666666
8,46,0.6278447121820616
8,47,0.5653333333333334
8,48,0.824
8,49,0.84
9,1,0.5253333333333333
9,2,0.6266666666666667
9,3,0.712
9,4,0.456
9,5,0.7066666666666667
9,6,0.696
9,7,0.37333333333333335
9,8,0.5573333333333333
9,9,0
9,10,0.45866666666666667
9,11,0.5973333333333334
9,12,0.5066666666666667
